OBJECTID,Location,Year,Count,Annual mean NO2 concentration μg/m3,Original Site ID,Site type,Historical annual data,Current,Year option,Site ID,x,y
20,Beaufort Road Opposite No 109,2023,12,17.6,677,single,"2022: 21.4, 2023: 17.6",Yes,Current sites,677,-283509.691799998,6702684.9863
21,Blackswarth Road Opposite St Patrick's School,2023,12,19,676,single,"2022: 19.8, 2023: 19",Yes,Current sites,676,-284103.41,6702585.7582
22,Netham Lock Junction,2023,12,23.7,675,single,"2022: 26.4, 2023: 23.7",Yes,Current sites,675,-284287.2775,6701680.0051
23,Troopers Hill Opposite No 30,2023,12,14.2,674,single,"2022: 15.2, 2023: 14.2",Yes,Current sites,674,-281822.636999998,6702480.5331
24,North View Downs Park West,2023,11,21.3,671,single,"2021: 26.1, 2022: 23.5, 2023: 21.3",Yes,Current sites,671,-291111.137600001,6706530.6751
25,Bristol Hill-CAZ-Lamppost Bristol Hill,2023,12,32.8,670,single,"2021: 39.9, 2022: 38.8, 2023: 32.8",Yes,Current sites,670,-284048.029599998,6698408.9348
26,Temple Way Bridge-CAZ-Lamppost Temple Way Bridge,2023,6,29.7,669,single,"2021: 28.6, 2022: 33.2, 2023: 29.7",Yes,Current sites,669,-287658.1547,6701695.487
27,College Green-CAZ-Post by Toni&Guy,2023,12,42,667,single,"2021: 43.6, 2022: 45.3, 2023: 42",Yes,Current sites,667,-289228.693,6701761.45929999
28,Upper Maudlin St-CAZ-Lamppost by BRI,2023,9,25.4,666,single,"2021: 32.8, 2022: 31.3, 2023: 25.4",Yes,Current sites,666,-289052.599199999,6702763.6877
29,Upper Maudlin St-CAZ-Lamppost opp BRI,2023,8,31.6,665,single,"2021: 37.6, 2022: 37.1, 2023: 31.6",Yes,Current sites,665,-289005.861900002,6702730.3337
30,                                                                                                    ,2023,11,19.7,664,single,"2021: 25.5, 2022: 24.8, 2023: 19.7",Yes,Current sites,664,-291154.999400001,6705262.364
31,Muller Road - Adjacent to Darnley Avenue,2023,10,22.5,494,single,"2015: 37.5, 2016: 43.3, 2017: 39.5, 2018: 38.7, 2019: 32, 2020: 25.1, 2021: 25, 2022: 26.4, 2023: 22.5",Yes,Current sites,494,-287635.184900001,6708277.4489
32,No 67 Filton Avenue on wall facing Muller Rd,2023,8,27.4,493,single,"2015: 36.2, 2016: 41.5, 2017: 41.9, 2018: 41.8, 2019: 37, 2020: 29.5, 2021: 31.8, 2022: 31.2, 2023: 27.4",Yes,Current sites,493,-287443.2234,6708131.093
33,On 1 way sign at bottom of Wellington Hill,2023,11,25.6,492,single,"2015: 37.6, 2016: 40.3, 2017: 36.8, 2018: 34.8, 2019: 31.3, 2020: 25.2, 2021: 26.4, 2022: 27.5, 2023: 25.6",Yes,Current sites,492,-287813.501499999,6707917.5566
34,Junction 3 Millpond Street,2023,7,27.8,487,single,"2013: 55.6, 2014: 47.4, 2015: 46.2, 2016: 45.7, 2017: 44.5, 2018: 41.9, 2019: 35.1, 2020: 27.7, 2021: 29.6, 2022: 36.8, 2023: 27.8",Yes,Current sites,487,-286505.223900001,6704231.7112
35,B&G Snax West St,2023,12,26.1,473,single,"2010: 49.2, 2011: 43.1, 2012: 44.6, 2013: 43.5, 2014: 40.7, 2015: 49.6, 2016: 57.1, 2017: 40.1, 2018: 44, 2019: 42.4, 2020: 40, 2021: 28.4, 2022: 28.4, 2023: 26.1",Yes,Current sites,473,-289889.1129,6699059.6192
36,Jamiesons Autos,2023,10,25.8,472,single,"2010: 52.4, 2011: 47.4, 2012: 46.5, 2013: 48.2, 2014: 45.2, 2015: 40, 2016: 45.3, 2017: 41.6, 2018: 37.3, 2019: 33.7, 2020: 26.2, 2021: 28.7, 2022: 29, 2023: 25.8",Yes,Current sites,472,-289697.414900001,6699318.10499999
37,Victoria Park Primary,2023,10,24.2,470,single,"2010: 43.3, 2011: 39.4, 2012: 39.6, 2013: 37.8, 2014: 35, 2015: 38.7, 2016: 39.4, 2017: 35.9, 2018: 37.9, 2019: 29.4, 2020: 25.1, 2021: 26.8, 2022: 28.3, 2023: 24.2",Yes,Current sites,470,-288113.070799999,6698870.223
38,Shiners Garage,2023,11,24.4,436,single,"2010: 44.7, 2011: 40.9, 2012: 39.6, 2013: 40.1, 2014: 38.2, 2015: 37.9, 2016: 47.7, 2017: 45.8, 2018: 50.6, 2019: 42, 2020: 29.2, 2021: 31.2, 2022: 30.6, 2023: 24.4",Yes,Current sites,436,-285257.7601,6702676.5771
39,facade villiers road stapleton road junction,2023,6,38,429,single,"2010: 60.3, 2011: 57.8, 2012: 57.3, 2013: 60.6, 2014: 54.7, 2015: 50.4, 2016: 52.1, 2017: 47.8, 2018: 46.8, 2019: 41.2, 2020: 38.8, 2021: 36.4, 2022: 35.5, 2023: 38",Yes,Current sites,429,-286116.158599999,6703865.2085
40,facade BRI children's,2023,12,22.2,423,single,"2010: 53, 2011: 53.2, 2012: 50.9, 2013: 46.3, 2014: 41.8, 2015: 44.4, 2016: 43.5, 2017: 45, 2018: 42.3, 2019: 35.2, 2020: 27.3, 2021: 29.5, 2022: 29.1, 2023: 22.2",Yes,Current sites,423,-289088.9267,6702699.1308
41,North St/Dean Lane on roundabout sign,2023,11,23.7,420,single,"2010: 43.8, 2011: 39.6, 2012: 38.1, 2013: 38.9, 2014: 37.2, 2015: 36.7, 2016: 38.6, 2017: 33.3, 2018: 37.1, 2019: 30.4, 2020: 23.2, 2021: 25.6, 2022: 28.8, 2023: 23.7",Yes,Current sites,420,-289619.3453,6699765.1326
42,Parson St lamppost outside Bristol Scuba,2023,11,29.4,419,single,"2010: 63.2, 2011: 54.7, 2012: 54.1, 2013: 53.6, 2014: 56.6, 2015: 53.6, 2016: 55.8, 2017: 51.3, 2018: 45, 2019: 39, 2020: 31.4, 2021: 34.3, 2022: 33.6, 2023: 29.4",Yes,Current sites,419,-290320.503899999,6698352.7908
43,Bedminster Down Rd lamppost between Ashton Motors & Plough PH,2023,11,32.8,418,single,"2010: 92.9, 2011: 90.5, 2012: 81.8, 2013: 74, 2014: 67.7, 2015: 63.7, 2016: 69.3, 2017: 58.4, 2018: 55.7, 2019: 51.1, 2020: 40.2, 2021: 45.9, 2022: 44.1, 2023: 32.8",Yes,Current sites,418,-290472.0394,6698280.8812
44,St John's Lane No 26 lamppost 15 (just past roundabout),2023,12,22.7,417,single,"2010: 51.3, 2011: 45.6, 2012: 44.1, 2013: 42.1, 2014: 40.8, 2015: 43.6, 2016: 43.4, 2017: 35.2, 2018: 36, 2019: 31, 2020: 26.3, 2021: 27.9, 2022: 27, 2023: 22.7",Yes,Current sites,417,-287442.494800001,6699543.5428
45,Wells Rd bus lane sign just below junction with Knowle Rd,2023,12,23.5,413,single,"2010: 52.2, 2011: 47.1, 2012: 41.4, 2013: 43.7, 2014: 38.4, 2015: 39.3, 2016: 40, 2017: 38.7, 2018: 37.6, 2019: 31.2, 2020: 25.5, 2021: 27.4, 2022: 27.2, 2023: 23.5",Yes,Current sites,413,-286790.2399,6699701.2646
46,lamppost sussex place,2023,11,24.8,407,single,"2010: 53.9, 2011: 56.5, 2012: 47.3, 2013: 47.1, 2014: 43.9, 2015: 43.1, 2016: 48.7, 2017: 44.6, 2018: 46.7, 2019: 37.3, 2020: 26.7, 2021: 30.2, 2022: 29.5, 2023: 24.8",Yes,Current sites,407,-287169.1943,6704295.5556
47,Whitehall Rd lamppost 17 nr juction with Chalks Rd,2023,12,24.2,406,single,"2010: 48.1, 2011: 37.5, 2012: 36.5, 2013: 36.5, 2014: 34.9, 2015: 35.4, 2016: 36.2, 2017: 38.9, 2018: 38.5, 2019: 31, 2020: 26.6, 2021: 29.3, 2022: 29.6, 2023: 24.2",Yes,Current sites,406,-284362.788199998,6703411.148
48,Whitehall Rd/Easton Rd lamppost 4TZ,2023,12,33.5,405,single,"2010: 57.8, 2011: 58, 2012: 53.1, 2013: 55, 2014: 51.1, 2015: 53.1, 2016: 42.6, 2017: 50.4, 2018: 56.2, 2019: 48.5, 2020: 38.7, 2021: 40.4, 2022: 38, 2023: 33.5",Yes,Current sites,405,-285203.250999998,6703303.54
49,Lamp post 48 230 Bath Road,2023,12,20.2,403,single,"2010: 46.5, 2011: 43.9, 2012: 43.6, 2013: 46.6, 2014: 39.2, 2015: 41.5, 2016: 37.5, 2017: 35.7, 2018: 35.6, 2019: 28.1, 2020: 23.4, 2021: 25.5, 2022: 25.5, 2023: 20.2",Yes,Current sites,403,-286047.601599999,6699976.871
50,St. Paul Street,2023,12,27.1,374,single,"2010: 56.2, 2011: 56.2, 2012: 46.8, 2013: 50.7, 2014: 51.8, 2015: 47.1, 2016: 47.2, 2017: 45.2, 2018: 47.8, 2019: 39.9, 2020: 29.9, 2021: 35, 2022: 33.7, 2023: 27.1",Yes,Current sites,374,-287672.081700001,6703046.3704
51,A4044 Roundabout_Traffic Light,2024,,,705,single,,Yes,Current sites,705,-287671.0722,6702313.8253
52,Lamb Street façade,2023,10,25.5,371,single,"2010: 57.9, 2011: 47.5, 2012: 47.5, 2013: 46.9, 2014: 42.8, 2015: 44.8, 2016: 42.7, 2017: 44.7, 2018: 42.2, 2019: 34.1, 2020: 25.8, 2021: 29.4, 2022: 29, 2023: 25.5",Yes,Current sites,371,-287182.1998,6702693.6362
53,Great George Street lamppost,2023,11,25.3,370,single,"2010: 49.2, 2011: 43.7, 2012: 39.5, 2013: 39.4, 2014: 36.9, 2015: 37.7, 2016: 38.4, 2017: 37.5, 2018: 36.6, 2019: 30.1, 2021: 25, 2022: 31, 2023: 25.3",Yes,Current sites,370,-287244.854499999,6702918.0477
54,5102 façade,2023,12,23.8,363,single,"2010: 44.9, 2011: 47.4, 2012: 48, 2013: 44.3, 2014: 39.8, 2015: 39.2, 2016: 39.6, 2017: 38.5, 2018: 37.2, 2019: 34, 2020: 23.5, 2021: 26.8, 2022: 28, 2023: 23.8",Yes,Current sites,363,-288367.673999999,6703069.6832
55,Facade   258 Fishponds Road Fishponds,2023,11,29.4,325,single,"2010: 51.8, 2011: 53, 2012: 49.8, 2013: 45.8, 2014: 49.7, 2015: 50.8, 2016: 50.5, 2017: 49.2, 2018: 48.1, 2019: 39.4, 2020: 34.1, 2021: 37.3, 2022: 32.6, 2023: 29.4",Yes,Current sites,325,-284232.696400002,6705496.1001
56,Lamppost     Ashley Hill St. Pauls,2023,11,24.8,312,single,"2010: 46.8, 2011: 46.4, 2012: 43.7, 2013: 44.5, 2014: 36.7, 2015: 36.8, 2016: 41.6, 2017: 38.5, 2018: 38.5, 2019: 32.8, 2020: 26.2, 2021: 29.5, 2022: 29.8, 2023: 24.8",Yes,Current sites,312,-287167.508099999,6704690.8496
57,Lamppost     Glenfrome Road \ Muller Road Horfield,2023,11,24.5,307,single,"2010: 46.6, 2011: 41.5, 2012: 39.5, 2013: 39.8, 2014: 38.4, 2015: 36.6, 2016: 37.4, 2017: 32.6, 2018: 37.3, 2019: 30.7, 2020: 24.6, 2021: 27.5, 2022: 26.8, 2023: 24.5",Yes,Current sites,307,-285709.989399999,6705846.3914
58,Facade   784 Muller Road Fishponds,2023,10,24.1,303,single,"2010: 55.4, 2011: 52.1, 2012: 48.5, 2013: 48.2, 2014: 43.5, 2015: 46.1, 2016: 46.2, 2017: 44, 2018: 43.8, 2019: 36.5, 2020: 29.2, 2021: 31.8, 2022: 31.2, 2023: 24.1",Yes,Current sites,303,-284712.723999999,6705600.1366
59,Facade Haart Estate Agents 755 Fishponds Road Fishponds,2023,11,21.2,300,single,"2010: 47, 2011: 52.8, 2012: 49.9, 2013: 48.5, 2014: 42.4, 2015: 45.9, 2016: 48.1, 2017: 45.9, 2018: 41.1, 2019: 35.1, 2020: 28.9, 2021: 28.7, 2022: 27.5, 2023: 21.2",Yes,Current sites,300,-281520.386100002,6706769.7061
60,Lamppost   16 Ashley Road St. Pauls,2023,8,34,295,single,"2010: 58.8, 2011: 60.7, 2012: 57.8, 2013: 57.2, 2014: 58.6, 2015: 63.3, 2016: 55.7, 2017: 65.1, 2018: 59.6, 2019: 48.1, 2020: 37.2, 2021: 44.5, 2022: 41, 2023: 34",Yes,Current sites,295,-287033.8891,6704208.2574
61,Stapleton Road Heath Street,2023,11,32,261,single,"2010: 55.8, 2011: 48.2, 2012: 53, 2013: 55.8, 2014: 50.6, 2015: 51.3, 2016: 53.1, 2017: 52.4, 2018: 51, 2019: 41.5, 2020: 34.7, 2021: 39.1, 2022: 39.3, 2023: 32",Yes,Current sites,261,-285136.0777,6705418.5404
62,Stapleton Road South,2023,11,26.5,260,single,"2010: 52.9, 2011: 52.8, 2012: 45.8, 2013: 46.5, 2014: 46.3, 2015: 45.6, 2016: 45.4, 2017: 42.6, 2018: 43.1, 2019: 36.2, 2020: 29.5, 2021: 33.2, 2022: 31.6, 2023: 26.5",Yes,Current sites,260,-285080.555500001,6705912.3053
63,Merchants Road Hotwells,2023,12,24.7,254,single,"2010: 47.1, 2011: 55.6, 2012: 55.3, 2013: 53.2, 2014: 51.5, 2015: 54.4, 2016: 51.8, 2017: 52.2, 2018: 49.4, 2019: 40.5, 2020: 31.1, 2021: 34.6, 2022: 33, 2023: 24.7",Yes,Current sites,254,-291487.226599999,6701141.8826
64,Parson Street Bedminster Down Road,2023,12,29.8,242,single,"2010: 80.3, 2011: 75.5, 2012: 73.9, 2013: 75.1, 2014: 56.2, 2015: 61.7, 2016: 68.4, 2017: 56, 2018: 51.1, 2019: 41, 2020: 32.2, 2021: 34.5, 2022: 36.6, 2023: 29.8",Yes,Current sites,242,-290832.307999998,6697890.9376
65,Parson St. A38 East,2023,12,40.5,239,single,"2010: 81.3, 2011: 82, 2012: 76.9, 2013: 78, 2014: 65.4, 2015: 69.2, 2016: 68.9, 2017: 66.8, 2018: 65.2, 2019: 54.4, 2020: 47.6, 2021: 51.4, 2022: 48.6, 2023: 40.5",Yes,Current sites,239,-290241.247900002,6698064.4615
66,top of Brislington Hill,2023,12,30.4,175,single,"2010: 57.9, 2011: 56.3, 2012: 54.7, 2013: 55.3, 2014: 51.7, 2015: 52.9, 2016: 56.5, 2017: 54, 2018: 54.9, 2019: 44.6, 2020: 36.4, 2021: 41.4, 2022: 38.7, 2023: 30.4",Yes,Current sites,175,-283408.7324,6698148.8049
67,Strathmore Road,2023,11,27.2,163,single,"2010: 44.8, 2011: 38.3, 2012: 38.8, 2013: 43, 2014: 39.1, 2015: 37, 2016: 39.7, 2017: 38, 2018: 36.6, 2019: 30.8, 2020: 24.5, 2021: 27.4, 2022: 27.2, 2023: 27.2",Yes,Current sites,163,-287828.855099998,6707832.24009999
68,Bishop Road,2023,11,25.6,161,single,"2010: 52.9, 2011: 47.4, 2012: 41.6, 2013: 41.8, 2014: 41.3, 2015: 43.7, 2016: 41.7, 2017: 38.8, 2018: 38, 2019: 31.7, 2020: 25.3, 2021: 27.4, 2022: 26, 2023: 25.6",Yes,Current sites,161,-288271.7117,6706476.9617
69,Cromwell Road,2023,11,28.9,159,single,"2010: 53.6, 2011: 48.9, 2012: 49.7, 2013: 49, 2014: 44.5, 2015: 44.1, 2016: 44.8, 2017: 42, 2018: 43.3, 2019: 35.8, 2020: 28.5, 2021: 31.9, 2022: 32.1, 2023: 28.9",Yes,Current sites,159,-288675.4309,6704665.8638
70,Stokes Croft  Ashley Road,2023,10,35.2,157,single,"2010: 64.9, 2011: 61.8, 2012: 55.9, 2013: 56, 2014: 51.4, 2015: 53.3, 2016: 52.8, 2017: 48.6, 2018: 45.4, 2019: 43.1, 2020: 35.7, 2021: 40.3, 2022: 35, 2023: 35.2",Yes,Current sites,157,-288303.3325,6703836.5663
71,Jacobs Wells road opp Clifton hill,2023,12,19.1,156,single,"2010: 56.1, 2011: 49.1, 2012: 45.8, 2013: 44.2, 2014: 38, 2015: 38.9, 2016: 41.2, 2017: 39.3, 2018: 36.2, 2019: 30.5, 2020: 20.7, 2021: 24.9, 2022: 25.9, 2023: 19.1",Yes,Current sites,156,-290548.391399998,6702095.8867
72,Jacobs Wells Road South,2023,12,17.5,155,single,"2010: 47.4, 2011: 52.4, 2012: 46.9, 2013: 48.5, 2014: 38.8, 2015: 39.9, 2016: 43.1, 2017: 37.9, 2018: 40.1, 2019: 31.1, 2020: 22.9, 2021: 25.5, 2022: 24.2, 2023: 17.5",Yes,Current sites,155,-290337.662900001,6701607.7196
73,Hotwells Road,2023,11,17.8,154,single,"2010: 54.7, 2011: 40.9, 2012: 40.3, 2013: 44.3, 2014: 38.5, 2015: 37.2, 2016: 39.6, 2017: 38.5, 2018: 36.2, 2019: 30, 2020: 22.1, 2021: 25.4, 2022: 26.1, 2023: 17.8",Yes,Current sites,154,-290714.2513,6701235.1364
74,Anchor Road,2023,12,39.5,147,single,"2010: 65.6, 2011: 66.4, 2012: 60.6, 2013: 60.2, 2014: 57, 2015: 60.1, 2016: 56.9, 2017: 61.5, 2018: 56.6, 2019: 50.9, 2020: 39.4, 2021: 43.3, 2022: 45.5, 2023: 39.5",Yes,Current sites,147,-289254.463399999,6701581.3445
75,York Road,2023,11,24.3,125,single,"2010: 72.8, 2011: 66.5, 2012: 63, 2013: 59.6, 2014: 53.3, 2015: 52.9, 2016: 52.9, 2017: 56, 2018: 50.3, 2019: 45.2, 2020: 35.6, 2021: 35.8, 2022: 33.6, 2023: 24.3",Yes,Current sites,125,-288123.190699998,6700347.4006
76,Victoria Street,2023,11,29.4,113,single,"2010: 53.9, 2011: 55.2, 2012: 51.8, 2013: 48.4, 2014: 48.8, 2015: 47.5, 2016: 45.5, 2017: 49.9, 2018: 40.5, 2019: 37.4, 2020: 29.9, 2021: 27.8, 2022: 32, 2023: 29.4",Yes,Current sites,113,-288062.701000001,6701599.0713
77,Stokes Croft,2023,11,35.9,22,single,"2010: 68.2, 2011: 58.7, 2012: 55.3, 2013: 57.7, 2014: 55.3, 2015: 49.7, 2016: 54.4, 2017: 52.5, 2018: 51, 2019: 44.3, 2020: 34.3, 2021: 37.5, 2022: 36.7, 2023: 35.9",Yes,Current sites,22,-288316.716200002,6703508.6964
78,Gloucester Road,2023,11,30.9,21,single,"2010: 50.1, 2011: 44.5, 2012: 43.1, 2013: 52, 2014: 50.4, 2015: 51.6, 2016: 50.2, 2017: 49.3, 2018: 46.4, 2019: 38.3, 2020: 33.4, 2021: 34.9, 2022: 34, 2023: 30.9",Yes,Current sites,21,-288453.715399999,6705789.2878
79,Third Way,2023,11,21.5,16,single,"2010: 35.1, 2011: 35.8, 2012: 36.4, 2013: 33.3, 2014: 34.6, 2015: 35.9, 2016: 35.7, 2017: 35.2, 2018: 32.6, 2019: 28.7, 2020: 23.2, 2021: 24.9, 2022: 25.8, 2023: 21.5",Yes,Current sites,16,-299320.210200001,6711146.7106
80,Horsefair,2023,11,26.4,15,single,"2010: 54.7, 2011: 50.9, 2012: 49.5, 2013: 53.6, 2014: 48.6, 2015: 50.8, 2016: 51.2, 2017: 49.4, 2018: 47.5, 2019: 42.2, 2020: 28.2, 2021: 31.5, 2022: 31.3, 2023: 26.4",Yes,Current sites,15,-288015.146299999,6702866.89500001
81,Red Lion Knowle,2023,12,27,14,single,"2010: 47.9, 2011: 44.1, 2012: 43.2, 2013: 42.2, 2014: 40.4, 2015: 40.1, 2016: 42.3, 2017: 41.1, 2018: 47.6, 2019: 38.7, 2020: 32.4, 2021: 32.7, 2022: 30.3, 2023: 27",Yes,Current sites,14,-285439.279399999,6697740.0722
82,Galleries,2023,11,60.2,12,single,"2010: 58.2, 2011: 55.2, 2012: 50.8, 2013: 56.7, 2014: 51.3, 2015: 52.5, 2016: 52.8, 2017: 56.6, 2018: 57.5, 2019: 51.8, 2020: 41.9, 2021: 46.5, 2022: 50.2, 2023: 60.2",Yes,Current sites,12,-288255.149099998,6702424.7849
83,Whitefriars,2023,12,29.6,11,single,"2010: 60.8, 2011: 56.1, 2012: 53.2, 2013: 56.3, 2014: 48.8, 2015: 51.4, 2016: 51.7, 2017: 49.2, 2018: 48.1, 2019: 41.1, 2020: 31.1, 2021: 35, 2022: 35.3, 2023: 29.6",Yes,Current sites,11,-288783.9428,6702630.9371
84,Bath Road,2023,12,30.7,10,single,"2010: 68.2, 2011: 62.3, 2012: 58.4, 2013: 61.5, 2014: 50.1, 2015: 49.3, 2016: 54.5, 2017: 51.6, 2018: 51.5, 2019: 42.2, 2020: 33.6, 2021: 36.8, 2022: 35.9, 2023: 30.7",Yes,Current sites,10,-284909.002900001,6699589.0257
85,B.R.I.,2023,12,27.8,9,single,"2010: 65.4, 2011: 58, 2012: 52, 2013: 54, 2014: 49.3, 2015: 48, 2016: 48.8, 2017: 46.5, 2018: 44.7, 2019: 37.8, 2020: 31.7, 2021: 39.3, 2022: 36, 2023: 27.8",Yes,Current sites,9,-288920.5691,6702882.042
86,Bedminster Parade,2023,12,33.5,5,single,"2010: 66.6, 2011: 57.2, 2012: 54.6, 2013: 58.7, 2014: 47.6, 2015: 50.9, 2016: 51.3, 2017: 45.8, 2018: 45.8, 2019: 39.9, 2020: 31.6, 2021: 41, 2022: 37.9, 2023: 33.5",Yes,Current sites,5,-288906.870700002,6699998.999
87,Three Lamps,2023,12,29.3,4,single,"2010: 62.3, 2011: 59.8, 2012: 58.4, 2013: 60.6, 2014: 55.8, 2015: 53.3, 2016: 55.2, 2017: 52.7, 2018: 53.5, 2019: 41, 2020: 36.8, 2021: 38.9, 2022: 38.4, 2023: 29.3",Yes,Current sites,4,-287018.791299999,6700248.6473
88,Blackboy Hill,2023,11,47.7,3,single,"2010: 46, 2011: 36.6, 2012: 37.7, 2013: 41.2, 2014: 36.3, 2015: 37.9, 2016: 37.6, 2017: 34.4, 2018: 34.4, 2019: 27.7, 2020: 28.7, 2021: 44.4, 2022: 38.8, 2023: 47.7",Yes,Current sites,3,-290988.520799998,6704714.203
89,Colston Avenue,2023,10,39,2,single,"2010: 79.4, 2011: 78.8, 2012: 66.8, 2013: 68.7, 2014: 67.7, 2015: 69.2, 2016: 66.1, 2017: 63.1, 2018: 58.2, 2019: 53.7, 2020: 36.9, 2021: 40.1, 2022: 40.3, 2023: 39",Yes,Current sites,2,-289076.016199999,6702096.8274
90,Whiteladies Rd-CAZ-Lamppost after petrol station,2023,12,22.4,663,single,"2021: 24.7, 2022: 25.9, 2023: 22.4",Yes,Current sites,663,-291073.3528,6704891.8536
91,Linden Rd-CAZ-Lamppost by house,2023,12,19.1,662,single,"2021: 21.2, 2022: 20.7, 2023: 19.1",Yes,Current sites,662,-290329.736299999,6706444.0066
92,Linden Rd-CAZ-Lamppost by house,2023,10,20.2,661,single,"2021: 23.3, 2022: 22, 2023: 20.2",Yes,Current sites,661,-290081.651799999,6706296.6088
93,Muller Rd-CAZ-Lamppost,2023,9,28.1,660,single,"2021: 32.1, 2022: 32.4, 2023: 28.1",Yes,Current sites,660,-285470.973000001,6705822.5264
94,Muller Rd-CAZ-Lamppost,2023,11,22.3,659,single,"2021: 26.5, 2022: 25.1, 2023: 22.3",Yes,Current sites,659,-287288.600000001,6708042.3065
95,Fishponds Rd-CAZ-Lamppost,2023,10,22.9,658,single,"2021: 23.6, 2022: 24.1, 2023: 22.9",Yes,Current sites,658,-281583.5757,6706640.6713
96,Fishponds Rd-CAZ-Lamppost,2023,11,24.9,657,single,"2021: 29.2, 2022: 33.5, 2023: 24.9",Yes,Current sites,657,-284218.563700002,6705534.7738
97,Stapleton Rd-CAZ-Lamppost,2023,11,23.3,656,single,"2021: 28.8, 2022: 27.3, 2023: 23.3",Yes,Current sites,656,-285079.937100001,6706040.8727
98,Muller Rd-CAZ-Lamppost opp LA DT,2023,10,26.9,655,single,"2021: 29.2, 2022: 28.6, 2023: 26.9",Yes,Current sites,655,-284733.963399999,6705653.0055
99,Mina Rd-CAZ-Lamppost by house,2023,11,20,654,single,"2021: 22.9, 2022: 24, 2023: 20",Yes,Current sites,654,-286563.8673,6704353.3666
100,Stapleton Rd-CAZ-Lamppost by house,2023,7,33.5,653,single,"2021: 26, 2022: 30.9, 2023: 33.5",Yes,Current sites,653,-286066.944800001,6703925.04
101,Whitehall Rd-CAZ-Lamppost by house,2023,12,33.3,652,single,"2021: 41.5, 2022: 37, 2023: 33.3",Yes,Current sites,652,-285099.7117,6703384.6646
102,Church Rd-CAZ-Post by Barwaaqo Cafe,2023,6,26.6,651,single,"2021: 35.2, 2022: 33.9, 2023: 26.6",Yes,Current sites,651,-285378.155400001,6702706.1706
103,Wells Rd-CAZ-Lamppost,2023,11,19.3,650,single,"2021: 22.8, 2022: 21.6, 2023: 19.3",Yes,Current sites,650,-285535.838300001,6698009.0515
104,Bath Rd-CAZ-Lamppost,2023,12,27.1,649,single,"2021: 30.1, 2022: 30, 2023: 27.1",Yes,Current sites,649,-283502.5781,6698278.1553
